titel;author;konferenz;veranstaltungstitel;zeitschrift;datum;Tweet Datum;Tweet
;;;;;;2015-05-26 11:28:59+00:00;Video1-Einladung http://t.co/YKGd8TV2Yp  der Keynoterin zum #mbforum15. Referate/Workshops/Anschauung 3.6.: https://t.co/lLLmfx1pgU
;;;;;;2015-05-06 09:02:05+00:00;Interessantes zur Swiss App Economy: Vortragsfolien zur aktuellen Marktstudie von @smama und uns sind online: http://t.co/iIKDHVh8yD
;;;;;;2015-05-01 20:46:03+00:00;RT @barbarajosef: Spannende Studie von @IWIHSG und @CrosswalkStrat zur digitalen Transformation: http://t.co/JJhVpN1HxZ, Autorinnen @ABack …
;;;;;;2015-04-30 05:09:19+00:00;Dabei sein am 3. Juni beim 4. St.Gallen Mobile Business Forum. Frühbuchen noch bis 4. Mai: https://t.co/NjA9gFQEBi, #mbforum15
;;;;;;2015-04-10 20:54:31+00:00;Soll ich? Für nächsten Vortrag statt  PPT das neue Sway, auch von @Microsoft, gefällt mir: https://t.co/HDwdZqEonl.
;;;;;;2015-03-28 16:31:19+00:00;Mercedes-Video zur Zukunft des Autofahrens: weiterhin Mann am - nicht mehr existierenden - Steuer http://t.co/xicDa9mqdH
;;;;;;2015-03-28 16:11:41+00:00;Das Informatik-Schulbuch meiner TÃ¶chter: Werft es weg - oder schafft den Informatik-Unterricht ab. http://t.co/h0tKVUDL71 via @nuzzel
;;;;;;2015-03-25 10:30:33+00:00;What is a SIMPLE tool to draw orgcharts - other than lucidchart or organimi? Any device, company-wide collaborative editing?
;;;;;;2015-03-22 18:06:07+00:00;"(Web)App Tipps von #sohn. PDF view &amp; annotate: https://t.co/Q1Kj27QC47. PDF-Alleskönner: http://t.co/9lw3LkqzF6"
;;;;;;2015-03-20 11:01:15+00:00;RT @stoweboyd: Moving through the Paradox: Digital-First and People-First http://t.co/AmcvP6ECDx Both new values *and* new tools
;;;;;;2015-03-19 10:21:16+00:00;Dafür #harvardbiz Danke @barbarajosef - in Hawaii sagt man ohana - we are family. Täte vielen Teams gut.
;;;;;;2015-03-19 10:14:37+00:00;RT @gleonhard: Here are the slides from my keynote on #NewWayToWork for IBM at Cebit Hannover  #CeBIT15 #NewWayToWork #IBMVerse http://t.co…
;;;;;;2015-03-19 10:05:35+00:00;RT @elgreco66: The Corporate HQ Is an Anachronism #hbr  #futureworkplace https://t.co/DUKwF6z1OS
;;;;;;2015-03-18 23:20:50+00:00;So geht das also mit 3D-Fotos: #LEDLighting, viele Kameras, ein Motiv: Schon kann man B. Obama ausdrucken: https://t.co/VuxJ3iAhyD
;;;;;;2015-03-18 23:01:40+00:00;RT @iceman65: The Evolution Of The Employee https://t.co/JM9A3cUyRv
;;;;;;2015-03-18 09:18:24+00:00;RT @rzollet: [Future Store] Instore touchscreens – a new benchmark set by Mc Donald’s http://t.co/89IKe6QEOC
;;;;;;2015-03-18 09:13:41+00:00;RT @HarvardBiz: The number of remote employees in the U.S. has gone up 79.7% since 2005. Management practices have to change too. http://t.…
;;;;;;2015-03-18 09:13:41+00:00;RT @HarvardBiz: The number of remote employees in the U.S. has gone up 79.7% since 2005. Management practices have to change too. http://t.…
;;;;;;2015-03-18 09:11:45+00:00;RT @MarkusKorherr: Browser-Tod - Microsoft stellt den Internet Explorer ein http://t.co/yQuBdlWjCZ via @welt
;;;;;;2015-03-17 08:56:34+00:00;"RT @amcafee: Slack has 500k daily active users, 135k paid accts. http://t.co/azAE5KgVyD About time Enterprise 2.0 got here... ;) #2MA"
;;;;;;2015-03-17 08:45:38+00:00;RT @AjitJaokar: Adidas to digitise trainers and footballs to create ‘over a billion consumer touchpoints’ http://t.co/ytNdSh2Hik via @TheDr…
;;;;;;2015-03-17 08:30:51+00:00;RT @comboeuf: #DigitalRulz “@NZZ: Swisscom hat in den letzten Jahren mehrere hunderttausend SIM-Karten ausgestellt – für Maschinen http://t…
;;;;;;2015-03-16 16:26:15+00:00;Kolumne: Cloud, aber anders als Sie denken: http://t.co/V7O1tN8it8
;;;;;;2015-03-16 11:27:26+00:00;Einen Schritt weiter + reifer in Personal Digital Transformation: Seit 20 Tagen @trello keine To-do-Orga mit Papier-Post-its mehr.
;;;;;;2015-03-16 10:14:01+00:00;RT @SimonDueckert: ... diese WM-Idee muss sterben! Nehmen Sie an der Blogparade teil: http://t.co/4MT8ZHzg0E #CeBIT2015 #cebitsba http://t.…
;;;;;;2015-03-16 10:12:38+00:00;RT @hdzimmermann: In der Lebensrealität ankommen: die Schule ist digital – trotz Handyverbot. http://t.co/qfmCmaAPO8 via @faznet #Schule20
;;;;;;2015-03-15 23:27:20+00:00;Verlockend: Bei The Idler Academy gibts einen Online-Kurs: How to be Idle: http://t.co/mMtG6vBS9a
;;;;;;2015-03-15 23:25:59+00:00;@phogenkamp Gibts ein Selfie mit (m)einer Doppelgängerin? Es muss da mehrere geben, werde öfter gesichtet, wo ich gar nicht bin
;;;;;;2015-03-14 23:51:51+00:00;Was twittern mehrere meiner Followees? Thx @AjitJaokar for intro to very useful tool @nuzzel. Was set up in 3 seconds.
;;;;;;2015-03-14 23:41:09+00:00;RT @stollerschai: An Overview of Modern Workplace Learning | Learning in the Social Workplace http://t.co/CHWbe7oqfz
;;;;;;2015-03-10 17:24:10+00:00;Nutzt jemand einen Dienst in der Art? https://t.co/dQwdLjb4jQ. Macht dies das Leben mit eMail Abos leichter?
;;;;;;2015-03-03 08:53:41+00:00;@stoweboyd schreibt auf http://t.co/EE0gjqlcfC über Future of Work. Kommentare bzw. Notes dazu erwünscht: https://t.co/dAM0uWRZck
;;;;;;2015-03-03 08:51:42+00:00;Gerad auf http://t.co/EE0gjqlcfC gestossen. Elegantere Lösung für Kommentare zu Web-Content: https://t.co/Ipp92jRxDS
;;;;;;2015-02-13 11:23:12+00:00;Ca. 200 bereits an der Erhebung beteiligt, heute letzter Tag: http://t.co/l6UwWFarBH. Ihr Unternehmen dabei? (Info http://t.co/2lHruknOLb)
;;;;;;2015-02-03 21:33:47+00:00;Finally updated my profile http://t.co/xyHwR1MzCY, photo still looking younger than I am now :-))
;;;;;;2015-02-03 21:27:08+00:00;Utilization Scenarios for In-Car Use of Wearable Devices was a Best Paper Nomination http://t.co/GisE0VYqwv at HICSS conference.
;;;;;;2015-01-22 19:40:19+00:00;Über 100 Unternehmen beim Digital Maturity Check schon dabei: http://t.co/pGlJCWXYCP. Ihres auch? (bis 3.Feb. Info http://t.co/f7KrsAVQtb)
;;;;;;2015-01-22 19:40:19+00:00;Über 100 Unternehmen beim Digital Maturity Check schon dabei: http://t.co/pGlJCWXYCP. Ihres auch? (bis 3.Feb. Info http://t.co/f7KrsAVQtb)
;;;;;;2015-01-22 08:04:28+00:00;Why email-overload feels so good, but is bad: http://t.co/M6o2Tig6Lz
;;;;;;2014-07-11 14:09:05+00:00;Urlaub auf Balkonien kann kommen. Bei Lust auf Bewegung hilft: http://t.co/qDF3jPdCA6
;;;;;;2014-06-22 21:17:22+00:00;"2Cellos heute kurz live erlebt. Lust auf mehr davon; hier ein Eindruck: ihr smooth Criminal http://t.co/oUPpfGWO4A"
;;;;;;2014-06-11 07:08:13+00:00;Köstlich - Video wie Kinder mit einem historischen Desktop-PC umgehen: http://t.co/M4zesPXODt
;;;;;;2014-05-02 09:16:16+00:00;Mein Berufswunsch für 2030: Simplicity Expert: Ihre Wahl? http://t.co/QWJx7bEtdn
;;;;;;2014-04-08 09:49:27+00:00;#selc14 Wonach gieren DigiNatives eigentlich? xMooCs muss man ihnen wohl mit viel Herzblut verkaufen.
;;;;;;2014-04-08 09:34:38+00:00;#selc14 Gut im xMooC. Studis machen video tutorials für andere wie man Arbeitswerkzeuge für Kurs nutzt.
;;;;;;2014-03-28 12:21:37+00:00;adidas Group re-thinks its corp learning approach #NewWayofLearning - Comments welcome: http://t.co/esuMwTNnMy http://t.co/HprhAu1ROr
;;;;;;2014-03-28 11:58:35+00:00;Muss man Sprachen können, um sie zu sprechen? Junge Dame im Video zeigt: Nein. http://t.co/iUqy0h2Kfb und http://t.co/NykTe9urQu
;;;;;;2014-03-27 08:57:05+00:00;Red Button: Kostenlose Online-Version des Buchs: Mgmt mobiler IT im Unternehmen - Mobile Business: http://t.co/qhh9y3XPns
;;;;;;2014-03-27 08:52:34+00:00;"Ob ich das heute schaffe?: ""Wir sollten die Müden ermutigen, nicht die Mutigen ermüden"" (Arno Backhaus, Liedermacher)"
;;;;;;2014-03-26 11:12:42+00:00;Customer Loyalty Programm horror: Bäcker sagt: 10 Kreuze für DIESES Brot, dann 11tes gratis. So weit kommts noch   http://t.co/SDUoyraXVH
;;;;;;2014-03-26 10:13:11+00:00;90 Min. online häufige Sätze in Schweizerdeutsch üben? Habe noch ein paar Gutscheincodes, bei mir melden genügt.
;;;;;;2014-03-25 19:41:25+00:00;@shibby schon ausgerichtet. Wo findet man dich?
;;;;;;2014-03-23 11:26:27+00:00;Young digital native, #SOHN, sieht meinen Yammer screen. S: Facebook für die Uni?. Ich: Ja. S: COOL!!
;;;;;;2014-03-20 13:27:50+00:00;IWI-HSG | IWI 3: Mobile Business Best Practice Award -  http://t.co/bcD2pgdrgd Mobile Business Best Practice bei Ihnen? @HSGStGallen ver...
;;;;;;2014-03-20 13:23:16+00:00;Mobile Business Best Practice bei Ihnen? @HSGStGallen verleiht Mobile Award #mbforum14: Einreichung 17.4.: http://t.co/kMKDQVsCug
;;;;;;2014-03-20 13:22:03+00:00;Mobile Business Best Practice bei Ihnen? @HSGStGallen verleiht Mobile Award #mbforum14: Einreichung 17.4.: http://t.co/6BERlmEjMa
;;;;;;2014-03-20 13:22:03+00:00;Mobile Business Best Practice bei Ihnen? @HSGStGallen verleiht Mobile Award #mbforum14: Einreichung 17.4.: http://t.co/6BERlmEjMa
;;;;;;2014-03-19 07:41:22+00:00;Karikatur gegen Käfighaltung von Menschen (Fachorgan Mutterkuhhaltung) via Natur-Konkret-NL http://t.co/IFsdz0vPez http://t.co/j5zI7nEMu8
;;;;;;2014-03-18 22:33:50+00:00;"""@herrlarbig: #YouTube sehen, was junge Leute so alles drauf haben, unabhängig von Schule. Z. B. http://t.co/eRgfjNkSX7 via @turtlevision"""
;;;;;;2014-03-18 16:25:10+00:00;"Meine Kolumne ""Sehnsucht nach erträglicher Langsamkeit des Seins"" im NL Mar.14 http://t.co/zN9aqmeT7U trifft Nerv, wird weitergesagt."
;;;;;;2014-03-18 16:10:05+00:00;Neue Fallstudie -Enterprise-2.0-Kultur/Tools erlauben Industie-KMU Kaizen, Muda etc. mit white collars: http://t.co/TtBpf4SW1J
;;;;;;2014-03-15 21:38:20+00:00;Wearable Tech ohne Big Data: LED Dress of Light: http://t.co/GHKZU2DJn4
;;;;;;2014-03-13 23:53:43+00:00;"Einstein, vorbildlich bescheiden: ""I never teach my pupils; I only attempt to provide the conditions in which they can learn"" via @sharethis"
;;;;;;2014-03-07 14:29:19+00:00;Video-Impressionen unseres Mobile Business Roundtable mit Kernaussagen aus der Praxis sind da: http://t.co/TQAM8ni8oX
;;;;;;2014-03-07 08:45:34+00:00;Gut besucht im C-Level Track, das Thema: Messbarkeit von Social Collaboration: http://t.co/3Z8fesN0Tr
;;;;;;2014-03-05 23:03:42+00:00;Denkwerte Wortschöpfung. Leanership = Lean Leadership?? “Leanership: A New Way Of Work”,  Stowe Boyd, http://t.co/qDxh2E0DBV
;;;;;;2014-03-01 13:56:06+00:00;Meine 10 Thesen: MOOC - Ornament oder Fundament der Hochschulentwicklung: http://t.co/OvJYc1NF8P
;;;;;;2014-02-11 19:55:38+00:00;@adfichter Thanks for pointing me to http://t.co/b6aktBVBLl
;;;;;;2014-01-21 08:55:43+00:00;Oft danach gefragt, jetzt da: Seminare Enterprise 2.0 Mgmt und Mobile Business Mgmt, Uni St. Gallen: http://t.co/qM7umqsgCY
;;;;;;2013-11-25 19:24:15+00:00;Social Collaboration Adoption: Brauchen wir eine Quote? 50% Arbeitspraxis 2.0 bis 2016. http://t.co/LCknFAcds8
;;;;;;2013-11-20 09:53:53+00:00;NextGen Info Retrieval: We need a web that makes proper data find you, says: http://t.co/M0Qk0KxGPm
;;;;;;2013-11-19 13:57:32+00:00;Kolumne und andere Posts: Wieder neue Serie von Posts auf dem LearningWaves Blog: http://t.co/eymowqCTaG
;;;;;;2013-11-19 13:55:50+00:00;(Bis zu ...) superschnell mobil im Netz. Geht mir auch oft so: http://t.co/YRmgpTZe33
;;;;;;2013-10-03 12:38:37+00:00;Ein Lesegenuss. Sascha Lobo in der FAZ zur Besserhalbwisserei von Netzverächtern: http://t.co/qleeh8Kzm6
;;;;;;2013-10-01 19:56:48+00:00;Ein ganzes Büro im Biergarten? Im Eventformat gehts, zu Zeiten des Oktoberfests: http://t.co/EHZ1ZemFuB
;;;;;;2013-09-18 11:26:40+00:00;Vorschau zu unserer 2. Mobile Business Studie: Morgen 19.9. im Live-Stream ab 17:30 als Teil dieser Runde: http://t.co/YrbjCqlcFL
;;;;;;2013-09-18 11:26:40+00:00;Vorschau zu unserer 2. Mobile Business Studie: Morgen 19.9. im Live-Stream ab 17:30 als Teil dieser Runde: http://t.co/YrbjCqlcFL
;;;;;;2013-09-02 07:23:49+00:00;Die Datenverwendung ist atemraubend. Lesenswert zur Obama-Wahlkampagne: http://t.co/Hbov8lzFHk
;;;;;;2013-08-27 09:09:37+00:00;Liste, wie Web-Account-Verabschiedung geht. Nur wie akuell? - zb keine Info zu Facebook. http://t.co/Jem9t5gY9o
;;;;;;2013-08-26 07:13:53+00:00;Hacking is a good thing - think of Hackers of the Renaissance ... says Prof. Garcia: http://t.co/JFO3yGhrlo
;;;;;;2013-08-11 23:08:24+00:00;@PeterJThomson Does the start-up cat have her own twitter account? Would love to see her grow and sneek into your ideas
;;;;;;2013-06-27 16:11:45+00:00;@faz_net: Seid Sand im Getriebe! der Datenschnüffelei: http://t.co/f0MwIybEJI #faz
;;;;;;2013-06-27 12:49:27+00:00;"Was sind ""Memes""? - Ein Evolutionsbiologe erklärts sehr gut: http://t.co/HiMFl9FIOz"
;;;;;;2013-06-25 09:10:30+00:00;Googles Personalentwickler Bock: Noten als Karriereindikator unnütz. Mitarbeiter befördern ihre Manager: http://t.co/cSuDXi8YyK
;;;;;;2013-06-22 08:36:06+00:00;Video Wanderperformance 2.0 zu 500 Jahren beider Appenzell - zum Mitmachen: http://t.co/TdFZvzb4Go
;;;;;;2013-06-19 19:34:11+00:00;The days of the traditional 60 minute keynote are gone ... (E. Masie). Punkt 2 hier: http://t.co/XMbIoVqgne
;;;;;;2013-06-17 12:47:45+00:00;Unsere Mobile Business Solutions Studie 2012 kann nun in 5 Kapiteln - sukzessive, kostenfrei - gelesen werden: http://t.co/diw8Cxz0dG
;;;;;;2013-05-31 08:58:26+00:00;Der Rausch des freien (Anm.: kostenlosen) Netzes ist vorüber: http://t.co/gXdjF9jmsR.
;;;;;;2013-05-29 22:25:34+00:00;Mein Learning (Bar)Camp Input zu User-Generated Video @ Unternehmen: http://t.co/zRmHKdkGwS
;;;;;;2013-05-29 22:12:31+00:00;Wieder neu: Internet Trends (Meeker/Wu): http://t.co/PM6j0PraTt
;;;;;;2013-05-24 10:11:07+00:00;Answer (beta) to: What is the position of a specific scientific journal in various rankings? http://t.co/DfoEZCdwsu
;;;;;;2013-05-22 14:43:01+00:00;Unsere Keynote: Mobile Business 2013 - Chancen und Herausforderungen: http://t.co/LkMcD3RKcz
;;;;;;2013-05-21 08:33:49+00:00;Stimme für L3T's MOOC - Medienkompetenz für Lehrer/innen, kostenfreier Kurs, offen lizenziert - Mail-Adresse nötig: http://t.co/6JFvxki9EM
;;;;;;2013-05-07 05:36:11+00:00;"Nun mit Foto: Management von Mobile IT in Unternehmen: Buch &amp; Forum 16. Mai in St: Gallen: http://t.co/DQeZbfcTLT. http://t.co/19gSKQwpCh"
;;;;;;2013-05-07 05:32:20+00:00;"Management von Mobile IT in Unternehmen: Buch &amp; Forum 16. Mai in St: Gallen: http://t.co/DQeZbfcTLT und http://130.82.101.96/mbforum.htm"
;;;;;;2013-04-30 13:21:27+00:00;"Das MediaBook ( Lehre&amp;Praxis) zu Mobile Business ist fertig! Mobile Business Forum, 16. Mai in St. Gallen: http://130.82.101.96/mbforum.htm"
;;;;;;2013-04-30 13:21:27+00:00;"Das MediaBook ( Lehre&amp;Praxis) zu Mobile Business ist fertig! Mobile Business Forum, 16. Mai in St. Gallen: http://130.82.101.96/mbforum.htm"
;;;;;;2013-04-22 15:53:03+00:00;Sheryl Sandberg, Facebook, on work-hours, and more: http://t.co/J5sdjlUHMz
;;;;;;2013-04-19 16:58:10+00:00;Mal wieder ein Video gedreht, ganz spontan ein Produkterklärvideo SFS turnLOG: http://t.co/k2dFRwKfJC
;;;;;;2013-02-12 18:08:48+00:00;RT @dhinchcliffe: New Data on Social Business: Communities are the #1 business initiative by @mfauscette http://t.co/GdWx0Ncc #socbiz #c ...
;;;;;;2013-02-12 09:31:06+00:00;#Sohn, 14J, sieht mich online lernen @ https://t.co/OVx3XuT2. Fragt, ob er #HSG VL zum St.G. Mgmt.-Modell belegen kann. Leider nein.
;;;;;;2013-01-25 07:16:50+00:00;"Rennlisten mag man, wenn man oben ist: CH Top of ""Where to be born"" von Economist Intelligence Unit: http://t.co/CdkNMSxL"
;;;;;;2013-01-24 20:40:51+00:00;Digital leaders perform better, findet diese Studie: http://t.co/NoEGLYgw
;;;;;;2013-01-14 12:50:08+00:00;learningwaves haben pause im januar. Kolumne Handy-Teufelszeug aber immer aktuell: http://t.co/mNNQoMmK
;;;;;;2013-01-13 21:16:43+00:00;Ein Neujahrswunsch für @phogenkamp: Dass er für diese netten Hinweise auch in 2013 Zeit findet: http://t.co/S44A5a73
;;;;;;2012-12-18 13:54:06+00:00;Fotos schicken, die sich nach kurzer Zeit selbst zerstören: http://t.co/FNEnHqAF. Besser noch als die Burn-Mail Idee: http://t.co/pmMozmM2
;;;;;;2012-11-29 09:22:40+00:00;Die Leute lieben E-Mail-Attachments, deshalb ist diese Funktionalität sehr praktisch (für Google-Fans): http://t.co/yDvQujQ2
;;;;;;2012-11-23 14:11:46+00:00;Sterben hier kein Tabu, sondern zur Verkehrserziehung munter thematisiert: Dumbest way to die: http://t.co/KX5jrfgz
;;;;;;2012-11-23 14:03:09+00:00;Ein Vorausdenker: Social Business in a World of Abundant Real-time Data by @leebryant on @slideshare http://t.co/Q2g8adXd
;;;;;;2012-11-09 11:16:20+00:00;Interessante Daten zur globalen Nutzung von Mendeley: http://t.co/mwBeIF4t
;;;;;;2012-10-27 20:31:16+00:00;Mit einem Lächeln schön gesagt. Nett :-)) RT @uknaus: Die Zukunft ist weiblich. Der Zukunft klingt ja auch irgendwie doof.
;;;;;;2012-10-27 18:02:17+00:00;Gutes Erklärvideo zu Open Access and Scientific Journals/Publishing: http://t.co/iSIJPz6H
;;;;;;2012-10-20 21:19:59+00:00;"Der 1. Webserver mit Aufkleber von Tim Berners Lee ""Do not Power down !"" http://t.co/2G9nMg03. Im CERN Universe of Particles."
;;;;;;2012-10-19 21:23:27+00:00;Visualgraphics zu Research in Progress - köstlich: http://t.co/lfeJdJRP (via Th. Plotkowiak)
;;;;;;2012-10-09 07:23:18+00:00;"Info age imperative: ""Look it up!"" Don't be proud of being ignorant (Seth Godin): http://t.co/wORD0Z9P"
;;;;;;2012-10-04 22:36:02+00:00;"G. Dueck, erste Minuten: ""Die Innovation und ihre Feinde - das sind ungefähr alle"". Vortragsvideo: http://t.co/DMxz3KEo"
;;;;;;2012-10-04 22:36:02+00:00;"G. Dueck, erste Minuten: ""Die Innovation und ihre Feinde - das sind ungefähr alle"". Vortragsvideo: http://t.co/DMxz3KEo"
;;;;;;2012-09-19 21:59:54+00:00;So eine Text-Polizei wie im Video wünschte ich mir für die Uni. Amt für ordnungsgemässe Texte hätte viel zu tun: http://t.co/A8M3rw5y
;;;;;;2012-09-17 10:52:36+00:00;Mashable Umfrage: Mehrzahl der Nutzer möchte ein Windows Phone kaufen : http://t.co/bYv1x73r
;;;;;;2012-09-14 21:21:55+00:00;RT @dtapscott: New research from Pew: A demographic portrait of creators, curators and users of social media http://t.co/qVBGMglK
;;;;;;2012-09-14 20:59:05+00:00;Spitzer Digitale Demenz Provokationen: Sammlung von Rezensionen: http://t.co/7jZdE1Wt
;;;;;;2012-09-05 09:41:20+00:00;Diversität von Use Cases für Social Business Software bei Swiss Re: Neue Fallstudie: http://t.co/0cDeuQNV
;;;;;;2012-09-05 09:39:05+00:00;Neue Fallstudie: Social Business Software Jive bei SwissRe: Use Case Projektmanagement (plus im Wiki-Way): http://t.co/xMGAni86
;;;;;;2012-08-22 05:22:08+00:00;"Sollte man lesen, zum reisserischen Thema ""Digitale Demenz"", von einem der kritisch gelesen hat: http://t.co/mBFHi8sT @martinlindner"
;;;;;;2012-07-07 18:23:34+00:00;Sommerzeit: Badezeit. In Molke - zumindest auf der Alp, hier: http://t.co/W73i5psb
;;;;;;2012-06-12 09:17:39+00:00;@JoachimNiemeier Interessanter Hinweis - gibt es da Vortragsunterlagen dazu, da via #DNUG ?
;;;;;;2012-06-12 08:28:11+00:00;Women are leading in Tech-Adoption: http://t.co/ErBvhsPe
;;;;;;2012-06-11 23:30:35+00:00;Was für ein Aufruf zu OA und CC. Last minutes of Coex of Archimedes http://t.co/YuUmVuqo #TED
;;;;;;2012-06-08 22:09:57+00:00;"Begriffslandkarte ""Web 2.0 und Social Media"" als Concept Map - Ein Bild sagt mehr als 1000 Worte: http://t.co/5RmBIVpl"
;;;;;;2012-06-06 13:10:07+00:00;Sinniges über die viele Info:  Präsentation durchdenken kostet Zeit, lohnt sich aber: http://t.co/jJSXMDq9
;;;;;;2012-06-01 11:44:56+00:00;Aufräumen ff. - diesmal Notes Workspace:  Mehrere Pages und 3/4 meiner Kacheln DEL. Finde ich bei Bedarf wieder, und wozu Packrat?
;;;;;;2012-06-01 11:41:58+00:00;Aufräumen ff.
;;;;;;2012-05-31 22:10:03+00:00;Kostenlose  bze. Free Kindle Fire Apps (z.B. TED, Adobe) kann man ohne US Kreditkarte nicht nutzen, blöd - #fail
;;;;;;2012-05-29 12:41:44+00:00;Die SIG Mobile Learning bei eduhub legt los #mLearnCH, Infos hier: http://t.co/tAg77lWo
;;;;;;2012-05-18 20:13:16+00:00;Nach Expeditions- und Explorationsphase im Social Web fange ich mit Aufräumen an: Eine erste Aktion: Google+ Account gelöscht.
;;;;;;2012-05-16 19:35:47+00:00;Vier neue Frauen in der Hall of Fame Technology International http://t.co/3mZ0NhqS
